id,name,constituencyLabel,constituency,partyLabel,party
Q61694639,Kwabena Appiah-Pinkrah,Adansi-Akrofuom,Q4701650,NPP,Q1148441
Q17386197,Kobina Tahir Hammond,Adansi-Asokwa,Q4680635,NPP,Q1148441
Q61694739,Nana Marfo Amaniampong,Afigya Kwabre North,,NPP,Q1148441
Q61694741,William Owuraku Aidoo,Afigya Kwabre South,,NPP,Q1148441
Q43597264,David Hennric Yeboah,Afigya Sekyere East,Q4689244,NPP,Q1148441
Q83626633,Adusei Kwasi,Ahafo Ano North,Q4694906,NDC,Q200875
Q61694603,Francis Manu-Adabor,Ahafo Ano South East,Q55603355,NPP,Q1148441
Q61694623,Johnson Kwaku Adu,Ahafo Ano South West,Q55603356,NPP,Q1148441
Q59180272,Kwame Anyimadu-Antwi,Asante-Akim Central,Q55604282,NPP,Q1148441
Q83632879,Kwadwo Baah Agyemang,Asante-Akim North,Q4803553,NPP,Q1148441
Q61694742,Kwaku Asante-Boateng,Asante-Akim South,Q4803554,NPP,Q1148441
Q16733008,Alhaji Muntaka Mohammed Mabarak,Asawase,Q4803661,NDC,Q200875
Q26899146,Patricia Appiagyei,Asokwa,Q4807573,NPP,Q1148441
Q61694734,Kojo Appiah-Kubi,Atwima-Kwanwoma,Q4818854,NPP,Q1148441
Q33108613,Isaac Kwame Asiamah,Atwima-Mponua,Q4818855,NPP,Q1148441
Q30688553,Benito Owusu Bio,Atwima-Nwabiagya North,Q30611694,NPP,Q1148441
Q83627232,Anthony Osei Boakye,Atwima-Nwabiagya South,Q30611695,NPP,Q1148441
Q83629489,Henry Kwabena Kokofu,Bantama,Q4857186,NPP,Q1148441
Q28377798,Joseph Osei-Owusu,Bekwai,Q4881682,NPP,Q1148441
Q83630187,Kwadwo Kyei Frimpong,Bosome-Freho,Q4947436,NPP,Q1148441
Q30318643,Simon Osei Mensah,Bosomtwe,Q4947437,NPP,Q1148441
Q83987786,Frank Boakye Adjei,Effiduase-Asokore,Q5347452,NPP,Q1148441
Q35563142,Kwabena Owusaduomi,Ejisu,"",NPP,Q1148441
Q83627687,Mohammed Salisu Bamba,Ejura-Sekyedumase,Q5350158,NPP,Q1148441
Q83984137,Atta Boafo Daniel Kingsley,Fomena,Q5464918,NPP,Q1148441
Q27975634,Ama Pomaa Andoh,Juaben,Q28223417,NPP,Q1148441
Q61694684,Philip Basoah,Kumawu,Q6443671,NPP,Q1148441
Q84242003,Kofi Frimpong,Kwabre East,Q6449938,NPP,Q1148441
Q31718297,Owusu Afriyie Akoto,Kwadaso,Q16733742,NPP,Q1148441
Q84312758,Francis Addai-Nimoh,Mampong,Q16733832,NPP,Q1148441
Q61695502,Collins Owusu Amankwah,Manhyia North,Q55640991,NPP,Q1148441
Q28677017,Matthew Opoku Prempeh,Manhyia South,Q55622043,NPP,Q1148441
Q61694604,Yaw Frimpong Addo,Manso-Adubia,,NPP,Q1148441
Q83688209,Grace Addo,Manso-Nkwanta,,NPP,Q1148441
Q61692930,Ernest Kofi Yakah,New Edubease,Q7007079,NDC,Q200875
Q2150918,Richard Winfred Anane,Nhyiaeso,Q7023394,NPP,Q1148441
Q61694652,Kwame Asafu-Adjei,Nsuta-Kwamang-Beposo,,NPP,Q1148441
Q84042853,Edward Michael Ennin,Obuasi East,Q48797813,NPP,Q1148441
Q43182802,Kwaku Agyeman Kwarteng,Obuasi West,Q48797816,NPP,Q1148441
Q61694725,Emmanuel Akwasi Gyamfi,Odotobri,Q7078327,NPP,Q1148441
Q61694720,Augustine Collins Ntim,Offinso North,Q7079628,NPP,Q1148441
Q61694764,Ben Abdallah Banda,Offinso South,Q7079629,NPP,Q1148441
Q55314927,Elizabeth Agyemang,Oforikrom,Q7079764,NPP,Q1148441
Q572683,Anthony Akoto Osei,Old Tafo,Q7085182,NPP,Q1148441
Q38803881,Alex Adomako-Mensah,Sekyere Afram Plain,,NDC,Q200875
Q7106472,Osei Kyei Mensah Bonsu,Suame,Q7630460,NPP,Q1148441
Q16733874,Isaac Osei,Subin,Q7631335,NPP,Q1148441
Q84042885,Robert Sarfo-Mensah,Asunafo North,Q4811877,NPP,Q1148441
Q61694726,Eric Opoku,Asunafo South,Q4811879,NDC,Q200875
Q61694553,Benhazin Joseph Dahah,Asutifi North,Q4811949,NPP,Q1148441
Q5147367,Collins Dauda,Asutifi South,Q4811952,NDC,Q200875
Q83628051,Sanja Nanja,Atebubu-Amantin,Q4812981,NDC,Q200875
Q61694536,Ahmed Ibrahim,Banda,Q25212634,NDC,Q200875
Q58494534,Kwabena Twum-Nuamah,Berekum East,Q55605235,NPP,Q1148441
Q61694648,Kwaku Agyenim-Boateng,Berekum West,Q55639304,NPP,Q1148441
Q28741196,Kwaku Agyemang-Manu,Dormaa Central,Q55639598,NPP,Q1148441
Q61694712,William Kwasi Sabi,Dormaa East,Q5298058,NPP,Q1148441
Q84056502,Vincent Oppong Asamoah,Dormaa West,Q5298061,NDC,Q200875
Q515657,Siaka Stevens,Jaman North,Q6127712,NPP,Q1148441
Q61694713,Yaw Afful,Jaman South,Q6127714,NPP,Q1148441
Q84056560,Stephen Kunsu,Kintampo North,Q6414331,NDC,Q200875
Q84056618,Yaw Effah-Baafi,Kintampo South,Q6414332,NDC,Q200875
Q35562227,Derrick Oduro,Nkoranza North,Q7042615,NPP,Q1148441
Q84056378,Emmanuel Kwadwo Agyekum,Nkoranza South,Q7042621,NDC,Q200875
Q21908926,Kwabena Donkor,Pru East,Q55630716,NDC,Q200875
Q61694753,Masawud Mohammed,Pru West,Q55641508,NDC,Q200875
Q61694576,Dominic Napare,Sene East,Q55641720,NDC,Q200875
Q61694654,Kwame Twumasi Ampofo,Sene West,Q55632850,NDC,Q200875
Q28606407,Kwasi Ameyaw-Cheremeh,Sunyani East,Q7641757,NPP,Q1148441
Q1657330,Ignatius Baffour Awuah,Sunyani West,Q7641759,NPP,Q1148441
Q84042428,Kwasi Agyemang Gyan-Tutu,Tain,Q7676171,NDC,Q200875
Q26899153,Freda Prempeh,Tano North,Q7683714,NPP,Q1148441
Q26896919,Hanna Louisa Bissiw,Tano South,Q7683715,NDC,Q200875
Q84042618,Alex Kyeremeh,Techiman North,Q7692201,NDC,Q200875
Q83870754,Adjei Mensah,Techiman South,Q7692202,NDC,Q200875
Q33634856,George Yaw Gyan-Baffour,Wenchi,Q7982337,NPP,Q1148441
Q84043497,Anthony Christian Dadzie,Abura-Asebu-Kwamankese,Q4670647,NDC,Q200875
Q16734040,Queenstar Pokuah Sawyerr,Agona East,Q4693337,NDC,Q200875
Q83628084,Charles Obeng-Inkoom,Agona West,Q4693339,NDC,Q200875
Q61694564,Cassiel Ato Baah Forson,Ajumako-Enyan-Essiam,Q4699979,NDC,Q200875
Q84044293,Georgina Nkrumah Aboah,Asikuma-Odoben-Brakwa,Q4806950,NDC,Q200875
Q28223333,Kennedy Agyapong,Assin Central,Q55639216,NPP,Q1148441
Q84044360,Ambre Samuel,Assin North,Q4808892,NDC,Q200875
Q1237560,Dominic Kwaku Fobih,Assin South,Q16252046,NPP,Q1148441
Q26899283,Mavis Hawa Koomson,Awutu-Senya East,Q55556584,NPP,Q1148441
Q5648740,Hanna Serwaa Tetteh,Awutu-Senya West,Q55604569,NDC,Q200875
Q81100279,Ebo Barton Oduro,Cape Coast North,Q55606579,NDC,Q200875
Q61694735,Kweku George Ricketts-Hagan,Cape Coast South,Q55606580,NDC,Q200875
Q26464946,Alexander Afenyo-Markin,Effutu,Q5347532,NPP,Q1148441
Q84044419,Abeiku Crentsil,Ekumfi,"",NDC,Q200875
Q26924735,Rachel Florence Appoh,Gomoa Central,Q55612788,NDC,Q200875
Q83965615,Ekow Panyin Okyere Eduamoah,Gomoa East,Q5581219,NDC,Q200875
Q84042214,Francis Kojo Arthur,Gomoa West,Q5581218,NDC,Q200875
Q83980669,Foster Joseph Andoh,Hemang Lower Denkyira,Q16257524,NDC,Q200875
Q1964418,Stephen Nana Ato Arthur,Komenda-Edina-Eguafo-Abirem,Q6428296,NPP,Q1148441
Q16146980,Aquinas Tawiah Quansah,Mfantseman,,NDC,Q200875
Q84042254,Samuel Ato Amoah,Twifo-Atii Morkwaa,Q7857919,NDC,Q200875
Q61694670,Nana Amoakoh,Upper Denkyira East,Q7898606,NPP,Q1148441
Q83992804,Benjamin Kofi Ayeh,Upper Denkyira West,Q7898607,NPP,Q1148441
Q34201755,Peter Wiafe Pepera,Abetifi,Q4667241,NPP,Q1148441
Q1370096,Esther Obeng Dapaah,Abirem,Q4667918,NPP,Q1148441
Q22811484,Joseph Boakye Danquah Adu,Abuakwa North,,NPP,Q1148441
Q33129374,Samuel Atta Akyea,Abuakwa South,,NPP,Q1148441
Q61694688,Robert Kwasi Amoah,Achiase,Q28223437,NPP,Q1148441
Q42304491,Emmanuel Aboagye Didieye,Afram Plains North,Q4689425,NDC,Q200875
Q84041496,Joseph Appiah Boateng,Afram Plains South,Q4689426,NDC,Q200875
Q61566688,William Agyapong Quaittoo,Akim Oda,Q4701018,NPP,Q1148441
Q61694632,Kennedy Osei Nyarko,Akim Swedru,Q4701025,NPP,Q1148441
Q84041410,William Ofori Boafo,Akropong,Q4701713,NPP,Q1148441
Q35562144,Osei Bonsu Amoah,Akwapim South,Q55603456,NPP,Q1148441
Q83900901,Baba Jamal Mohammed Ahmed,Akwatia,Q4702014,NDC,Q200875
Q84589649,Yaw Owusu-Boateng,Asene-Akroso-Manso,,NPP,Q1148441
Q84033880,Kofi Osei-Ameyaw,Asuogyaman,Q4811893,NPP,Q1148441
Q27057633,Abena Osei Asare,Atiwa East,Q55604440,NPP,Q1148441
Q33134598,Kwesi Amoako Atta,Atiwa West,Q55604441,NPP,Q1148441
Q61694785,Samuel Ayeh-Paye,Ayensuano,Q4831153,NPP,Q1148441
Q61694638,Kwabena Amankwa Asiamah,Fanteakwa North,Q55611461,NPP,Q1148441
Q61694634,Kofi Okyere-Agyekum,Fanteakwa South,Q55611463,NPP,Q1148441
Q84256302,Ofosu Asamoah,Kade,Q6345317,NPP,Q1148441
Q16733482,Ebenezer Okletey Terlabi,Lower Manya Krobo,Q16733819,NDC,Q200875
Q26210996,Gifty Klenam,Lower West Akim,Q6693895,NPP,Q1148441
Q61694701,Seth Kwame Acheampong,Mpraeso,Q16733878,NPP,Q1148441
Q61694656,Kwasi Boateng Adjei,New Juaben North,Q16733927,NPP,Q1148441
Q61694662,Mark Assibey-Yeboah,New Juaben South,Q16733929,NPP,Q1148441
Q30318776,Eric Kwakye Darfour,Nkawkaw,Q7042541,NPP,Q1148441
Q58494542,Frank Annoh Dompreh,Nsawam-Adoagyiri,,NPP,Q1148441
Q84589645,David Oppong Kusi,Ofoase-Ayirebi,Q7079760,NPP,Q1148441
Q1160142,Daniel Botwe,Okere,Q7081942,NPP,Q1148441
Q61674636,Frederick Opare-Ansah,Suhum,Q7635269,NPP,Q1148441
Q84589639,Jeff Kavianu,Upper Manya Krobo,Q7898771,NDC,Q200875
Q16148840,Joseph Sam Amankwanor,Upper West Akim,Q7899007,NDC,Q200875
Q6425709,Magnus Kofi Amoatey,Yilo Krobo,Q8053610,NDC,Q200875
Q84561719,Theophilus Tetteh Chaie,Ablekuma Central,Q4668084,NDC,Q200875
Q84561706,Justice Joe Appiah,Ablekuma North,Q4668086,NPP,Q1148441
Q5504853,Frederic Fritz Baffour,Ablekuma South,Q4668085,NDC,Q200875
Q21063772,Ursula Owusu,Ablekuma West,Q28223340,NPP,Q1148441
Q26899268,Comfort Doyoe Cudjoe-Ghansah,Ada,Q4678215,NDC,Q200875
Q84561668,Emmanuel Nii Ashie Moore,Adenta,Q4682308,NDC,Q200875
Q61694592,Emmanuel Nii Okai Laryea,Amasaman,Q55603769,NDC,Q200875
Q26923626,Shirley Ayorkor Botchway,Anyaa-Sowutuom,Q30689497,NPP,Q1148441
Q28867963,Alfred Kwame Agbesi,Ashaiman,Q4804541,NDC,Q200875
Q61694612,Henry Quartey,Ayawaso Central,Q4831000,NPP,Q1148441
Q61694755,Naser Toure Mahama,Ayawaso East,Q4831001,NDC,Q200875
Q84561754,Mustapha Ahmed,Ayawaso North,Q55604578,NDC,Q200875
Q59132463,Emmanuel Kyeremateng Agyarko,Ayawaso West Wuogon,Q4831003,NPP,Q1148441
Q84561625,Bright Edward Kodzo Demordzi,Bortianor-Ngleshie-Amanfro,,NDC,Q200875
Q73789664,Nii Amasah Namoale,Dade Kotopon,Q5208044,NDC,Q200875
Q20898403,Sarah Adwoa Safo,Dome Kwabenya,Q5289993,NPP,Q1148441
Q84561484,Daoud Anum Yemoh,Domeabra-Obom,Q5290023,NPP,Q1148441
Q16144551,Nii Armah Ashitey,Korle Klottey,Q6432362,NDC,Q200875
Q16733693,Joseph Nii Laryea Afotey-Agbo,Kpone-Katamanso,Q6435736,NDC,Q200875
Q84504816,Nii Oakley Quaye-Kumah,Krowor,Q6439122,NDC,Q200875
Q26258627,Benita Sena Okity-Duah,Ledzokuku,Q6512796,NDC,Q200875
Q84496267,Amadu Bukari Sorogho,Madina,Q34855528,NDC,Q200875
Q5379334,Enoch Teye Mensah,Ningo-Prampram,Q7038712,NDC,Q200875
Q16734231,Edwin Nii Lante Vanderpuye,Odododiodoo,Q7077899,NDC,Q200875
Q61694678,Patrick Yaw Boamah,Okaikwei Central,Q55627381,NPP,Q1148441
Q26923629,Elizabeth Kwatsoe Tawiah Sackey,Okaikwei North,Q7081731,NPP,Q1148441
Q61694549,Ahmed Arthur,Okaikwei South,Q7081734,NPP,Q1148441
Q61694569,Christian Corleytey Otuteye,Sege,Q7446217,NDC,Q200875
Q84433467,David Tetteh Assumeng,Shai-Osudoku,Q7462373,NDC,Q200875
Q61748023,Kofi Brako,Tema Central,Q55634894,NPP,Q1148441
Q35562256,Daniel Titus-Glover,Tema East,Q7697957,NPP,Q1148441
Q26896896,Irene Naa Torshie Addo,Tema West,Q7697965,NPP,Q1148441
Q61694667,Moses Anim,Trobu,Q55636225,NPP,Q1148441
Q28840603,Rosemund Comfort Abrah,Weija Gbawe,Q7980171,NPP,Q1148441
Q30323575,Dominc Aduna Bingab Nitiwul,Bimbilla,Q4913713,NPP,Q1148441
Q65030549,Joseph Akati Saaka,Bole Bamboi,,NDC,Q200875
Q43388749,Solomon Namliit Boar,Bunkpurugu,Q55606148,NPP,Q1148441
Q84044471,Azumah Namoro Sanda,Chereponi,Q5091889,NPP,Q1148441
Q61694758,Shaibu Mahama,Daboya-Mankarigu,Q55608819,NPP,Q1148441
Q61694754,Mutawakilu Adam,Damango,Q56289937,NDC,Q200875
Q84413710,Thomas Kwesi Nasah,Gushiegu,Q5620884,NDC,Q200875
Q61694776,Alhassan Sualihu Dandaawa,Karaga,Q6367883,NDC,Q200875
Q61694737,Matthew Nyindam,Kpandai,Q6435709,NPP,Q1148441
Q58327,Muhammed Mumuni,Kumbungu,Q6443775,NDC,Q200875
Q84413685,Ahmed Alhassan Yakubu,Mion,Q16733862,NDC,Q200875
Q84044575,Tia Sugri Alfred,Nalerigu Gambaga,,NDC,Q200875
Q83624340,Ibrahim Murtala Muhammed,Nanton,Q6964339,NDC,Q200875
Q84411268,Bukari Nikpe Joseph,Saboba,Q7396276,NDC,Q200875
Q16146239,Alhassan Bashir Fuseini,Sagnarigu,Q55632328,NDC,Q200875
Q61694760,Alhassan Mumuni,Salaga North,Q55632379,NDC,Q200875
Q84411267,Ibrahim Dey Abubakari,Salaga South,Q55632380,NDC,Q200875
Q26924332,Mary Salifu Boforo,Savelugu,Q7428159,NDC,Q200875
Q84411263,Donald Dari Soditey,Sawla-Tuna-Kalba,Q7428652,NDC,Q200875
Q16194544,Inusah Fuseini,Tamale Central,Q7680587,NDC,Q200875
Q83626198,Alhassan Dahamani,Tamale North,Q16734140,Independent,Q327591
